time;gFx;gFy;gFz;TgF
0,338000;-0,2878;0,3281;0,9049;1,005
0,340000;-0,2844;0,3293;0,9037;1,003
0,342000;-0,2822;0,3298;0,9027;1,002
0,344000;-0,2805;0,3310;0,9013;1,000
0,346000;-0,2773;0,3313;0,9013;0,999
0,348000;-0,2746;0,3320;0,9008;0,999
0,350000;-0,2734;0,3330;0,8996;0,997
0,352000;-0,2697;0,3357;0,8979;0,996
0,354000;-0,2675;0,3381;0,8974;0,996
0,356000;-0,2653;0,3381;0,8971;0,995
0,359000;-0,2607;0,3374;0,8944;0,991
0,360000;-0,2592;0,3386;0,8932;0,990
0,362000;-0,2580;0,3394;0,8922;0,989
0,364000;-0,2546;0,3381;0,8905;0,986
0,367000;-0,2536;0,3364;0,8883;0,983
0,368000;-0,2543;0,3367;0,8878;0,983
0,370000;-0,2519;0,3394;0,8878;0,983
0,372000;-0,2519;0,3386;0,8842;0,980
0,374000;-0,2516;0,3374;0,8834;0,979
0,376000;-0,2526;0,3364;0,8829;0,978
0,378000;-0,2551;0,3376;0,8812;0,978
0,380000;-0,2560;0,3386;0,8798;0,977
0,382000;-0,2560;0,3389;0,8776;0,975
0,384000;-0,2582;0,3389;0,8756;0,974
0,386000;-0,2595;0,3389;0,8746;0,973
0,388000;-0,2612;0,3396;0,8724;0,972
0,390000;-0,2617;0,3423;0,8717;0,972
0,392000;-0,2629;0,3430;0,8712;0,973
0,394000;-0,2626;0,3437;0,8702;0,972
0,396000;-0,2648;0,3435;0,8693;0,971
0,398000;-0,2665;0,3433;0,8695;0,972
0,401000;-0,2670;0,3452;0,8715;0,975
0,402000;-0,2683;0,3459;0,8720;0,976
0,404000;-0,2700;0,3457;0,8717;0,976
0,406000;-0,2712;0,3452;0,8717;0,976
0,408000;-0,2736;0,3467;0,8751;0,980
0,410000;-0,2761;0,3477;0,8764;0,982
0,412000;-0,2771;0,3486;0,8764;0,983
0,414000;-0,2807;0,3501;0,8793;0,987
0,416000;-0,2841;0,3506;0,8817;0,991
0,420000;-0,2849;0,3523;0,8822;0,992
0,421000;-0,2858;0,3528;0,8832;0,993
0,422000;-0,2873;0,3528;0,8829;0,993
0,424000;-0,2880;0,3533;0,8820;0,993
0,426000;-0,2883;0,3535;0,8808;0,992
0,428000;-0,2912;0,3538;0,8803;0,992
0,430000;-0,2912;0,3543;0,8803;0,993
0,432000;-0,2937;0,3545;0,8786;0,992
0,435000;-0,2944;0,3552;0,8776;0,991
0,436000;-0,2937;0,3560;0,8776;0,992
0,438000;-0,2937;0,3543;0,8768;0,990
0,440000;-0,2939;0,3535;0,8776;0,991
0,442000;-0,2932;0,3535;0,8778;0,991
0,444000;-0,2924;0,3528;0,8766;0,989
0,446000;-0,2915;0,3525;0,8768;0,989
0,448000;-0,2902;0,3523;0,8778;0,989
0,451000;-0,2895;0,3538;0,8820;0,993
0,452000;-0,2878;0,3533;0,8837;0,994
0,455000;-0,2861;0,3528;0,8854;0,995
0,456000;-0,2871;0,3513;0,8864;0,996
0,458000;-0,2873;0,3506;0,8871;0,996
0,460000;-0,2866;0,3506;0,8871;0,996
0,462000;-0,2856;0,3486;0,8893;0,997
0,464000;-0,2885;0,3484;0,8908;0,999
0,467000;-0,2888;0,3481;0,8932;1,001
0,468000;-0,2907;0,3479;0,8971;1,005
0,471000;-0,2912;0,3472;0,8969;1,005
0,472000;-0,2905;0,3467;0,8969;1,004
0,474000;-0,2910;0,3445;0,8981;1,005
0,476000;-0,2910;0,3457;0,8974;1,005
0,480000;-0,2890;0,3455;0,8969;1,004
0,480000;-0,2883;0,3433;0,8971;1,003
0,483000;-0,2871;0,3423;0,8964;1,002
0,484000;-0,2863;0,3423;0,8969;1,002
0,486000;-0,2873;0,3425;0,8974;1,003
0,488000;-0,2868;0,3413;0,8957;1,000
0,490000;-0,2871;0,3416;0,8947;1,000
0,492000;-0,2866;0,3406;0,8957;1,000
0,494000;-0,2849;0,3406;0,8930;0,997
0,496000;-0,2856;0,3418;0,8917;0,997
0,498000;-0,2856;0,3413;0,8900;0,995
0,501000;-0,2834;0,3423;0,8869;0,992
0,502000;-0,2824;0,3433;0,8861;0,991
0,504000;-0,2817;0,3440;0,8854;0,991
0,506000;-0,2812;0,3435;0,8837;0,989
0,509000;-0,2807;0,3437;0,8825;0,988
0,511000;-0,2802;0,3457;0,8803;0,986
0,512000;-0,2766;0,3455;0,8773;0,983
0,514000;-0,2758;0,3455;0,8761;0,981
0,518000;-0,2756;0,3459;0,8739;0,979
0,518000;-0,2749;0,3469;0,8710;0,977
0,520000;-0,2751;0,3469;0,8702;0,976
0,522000;-0,2761;0,3474;0,8690;0,976
0,525000;-0,2756;0,3462;0,8688;0,975
0,527000;-0,2756;0,3459;0,8690;0,975
0,528000;-0,2753;0,3447;0,8690;0,975
0,531000;-0,2741;0,3437;0,8680;0,973
0,532000;-0,2744;0,3435;0,8678;0,973
0,535000;-0,2731;0,3418;0,8688;0,973
0,536000;-0,2722;0,3420;0,8712;0,975
0,540000;-0,2729;0,3418;0,8702;0,974
0,541000;-0,2729;0,3403;0,8700;0,973
0,543000;-0,2731;0,3386;0,8720;0,974
0,544000;-0,2736;0,3389;0,8729;0,976
0,546000;-0,2751;0,3372;0,8751;0,977
0,548000;-0,2768;0,3367;0,8771;0,979
0,551000;-0,2778;0,3359;0,8768;0,979
0,552000;-0,2761;0,3357;0,8788;0,980
0,554000;-0,2780;0,3350;0,8815;0,983
0,556000;-0,2778;0,3357;0,8817;0,984
0,558000;-0,2775;0,3367;0,8827;0,985
0,560000;-0,2768;0,3374;0,8856;0,987
0,562000;-0,2768;0,3379;0,8873;0,989
0,564000;-0,2780;0,3372;0,8895;0,991
0,567000;-0,2775;0,3369;0,8908;0,992
0,569000;-0,2768;0,3372;0,8917;0,993
0,571000;-0,2783;0,3362;0,8954;0,996
0,572000;-0,2780;0,3364;0,8961;0,997
0,575000;-0,2785;0,3359;0,8969;0,997
0,576000;-0,2790;0,3352;0,8974;0,998
0,578000;-0,2785;0,3340;0,8981;0,998
0,580000;-0,2793;0,3337;0,8976;0,998
0,582000;-0,2805;0,3325;0,8981;0,998
0,584000;-0,2805;0,3318;0,8988;0,998
0,586000;-0,2797;0,3320;0,8993;0,999
0,589000;-0,2800;0,3328;0,9008;1,000
0,591000;-0,2795;0,3303;0,9010;1,000
0,592000;-0,2807;0,3303;0,9005;0,999
0,594000;-0,2805;0,3310;0,9003;0,999
0,596000;-0,2802;0,3310;0,8983;0,998
0,599000;-0,2800;0,3303;0,8983;0,997
0,601000;-0,2785;0,3308;0,8986;0,997
0,603000;-0,2758;0,3310;0,8969;0,995
0,605000;-0,2761;0,3306;0,8974;0,995
0,606000;-0,2751;0,3313;0,8961;0,994
0,609000;-0,2717;0,3330;0,8952;0,993
0,610000;-0,2712;0,3332;0,8957;0,993
